source_ip,destination_ip,source_port,destination_port,protocol,packet_size,packet_count,flow_duration,tcp_flags,connection_frequency,connection_density,reputation_score,label,attack_category
192.168.1.38,203.0.113.36,39588,443,TCP,78,10,0.7192,A,1.0,2.0,2,0,Normal
192.168.1.51,203.0.113.88,60361,80,TCP,476,8,0.372,PA,11.0,1.0,78,1,Phishing
203.0.113.195,192.168.1.20,32000,3389,TCP,238,31,2.4172,PA,82.0,1.0,94,1,Brute Force
192.168.1.98,203.0.113.39,57636,443,UDP,174,26,6.7369,,2.0,1.0,12,0,Normal
192.168.1.100,45.227.254.3,48748,443,TCP,1416,121,15.0918,A,4.0,1.0,88,1,Malware
192.168.1.46,203.0.113.33,58334,443,TCP,971,5,8.0821,A,9.0,1.0,1,0,Normal
192.168.1.41,203.0.113.32,43762,53,TCP,94,20,9.6903,A,4.0,2.0,13,0,Normal
203.0.113.195,192.168.1.50,32850,80,TCP,113,517,0.4713,S,665.0,1.0,94,1,DDoS
192.168.1.99,198.51.100.42,28746,8080,TCP,155,6,1.9405,PA,47.0,1.0,98,1,Botnet
192.168.1.96,203.0.113.37,5018,443,ICMP,706,26,0.5811,,10.0,4.0,5,0,Normal
192.168.1.62,203.0.113.44,4751,443,TCP,228,19,8.5149,A,2.0,5.0,2,0,Normal
192.168.1.64,203.0.113.11,45274,443,TCP,545,30,4.0437,A,10.0,2.0,1,0,Normal
192.168.1.78,203.0.113.34,41615,22,TCP,922,5,6.5772,A,10.0,5.0,10,0,Normal
203.0.113.195,192.168.1.50,62280,80,TCP,80,3742,1.0404,S,507.0,1.0,99,1,DDoS
192.168.1.28,203.0.113.26,21744,443,TCP,212,27,0.1031,A,10.0,5.0,3,0,Normal
192.168.1.61,203.0.113.41,5825,443,TCP,500,20,5.0638,A,3.0,3.0,2,0,Normal
192.168.1.99,198.51.100.42,58647,8080,TCP,267,8,1.105,PA,45.0,1.0,94,1,Botnet
192.168.1.51,203.0.113.35,62087,53,TCP,276,24,9.3899,A,3.0,3.0,3,0,Normal
192.168.1.69,203.0.113.49,59332,8080,TCP,1197,6,1.5629,A,5.0,5.0,6,0,Normal
192.168.1.46,203.0.113.32,48053,22,TCP,480,13,6.8781,A,5.0,5.0,15,0,Normal
198.51.100.42,192.168.1.50,17481,80,TCP,106,529,1.1796,S,852.0,1.0,93,1,DDoS
203.0.113.195,192.168.1.20,11613,3389,TCP,147,13,4.7802,PA,118.0,1.0,84,1,Brute Force
192.0.2.89,192.168.1.10,36779,686,TCP,64,2,0.0371,S,457.0,52.0,78,1,Port Scan
192.0.2.89,192.168.1.192,24473,0,ICMP,32,1,0.0464,,40.0,20.0,51,1,Reconnaissance
198.51.100.42,192.168.1.50,58788,80,TCP,84,2685,1.2023,S,310.0,1.0,97,1,DDoS
192.168.1.76,203.0.113.17,58182,443,TCP,1027,4,2.2321,A,8.0,3.0,9,0,Normal
192.168.1.95,203.0.113.22,54798,443,TCP,530,28,2.237,A,4.0,4.0,10,0,Normal
192.168.1.63,203.0.113.8,19282,443,ICMP,206,30,9.6692,,5.0,3.0,12,0,Normal
203.0.113.195,192.168.1.50,45556,80,TCP,97,1962,0.1536,S,810.0,1.0,98,1,DDoS
203.0.113.49,192.168.1.15,23678,80,TCP,2578,14,1.1368,PA,7.0,1.0,23,1,SQL Injection
192.168.1.55,203.0.113.6,1134,443,ICMP,1166,19,6.8717,,4.0,3.0,13,0,Normal
192.168.1.55,203.0.113.31,5609,53,TCP,740,24,6.2353,A,2.0,3.0,9,0,Normal
192.168.1.96,203.0.113.88,44729,80,TCP,415,8,1.0644,PA,8.0,1.0,65,1,Phishing
192.168.1.63,203.0.113.3,41362,443,TCP,680,21,4.0667,A,1.0,3.0,9,0,Normal
203.0.113.195,192.168.1.50,14798,80,TCP,91,4122,0.8156,S,953.0,1.0,90,1,DDoS
192.168.1.42,203.0.113.9,44202,443,TCP,645,5,5.1594,A,10.0,3.0,2,0,Normal
192.168.1.99,198.51.100.42,54660,8080,TCP,111,4,0.5652,PA,40.0,1.0,99,1,Botnet
192.168.1.16,203.0.113.36,56712,80,TCP,213,27,4.5596,A,10.0,2.0,12,0,Normal
192.0.2.89,192.168.1.10,33423,3586,TCP,64,1,0.0806,S,406.0,83.0,64,1,Port Scan
203.0.113.23,192.168.1.15,4315,80,TCP,3975,12,2.9697,PA,6.0,1.0,20,1,SQL Injection
192.168.1.99,198.51.100.42,63285,8080,TCP,290,5,1.7368,PA,38.0,1.0,94,1,Botnet
203.0.113.195,192.168.1.50,50292,80,TCP,120,2749,0.2085,S,492.0,1.0,92,1,DDoS
192.168.1.69,203.0.113.44,18831,22,TCP,718,13,8.9313,A,2.0,2.0,4,0,Normal
192.168.1.64,203.0.113.88,16179,80,TCP,369,11,0.9054,PA,8.0,1.0,61,1,Phishing
192.168.1.39,203.0.113.19,14579,8080,TCP,924,29,3.9009,A,10.0,1.0,12,0,Normal
192.0.2.89,192.168.1.10,32283,8000,TCP,64,1,0.028,S,298.0,51.0,62,1,Port Scan
192.168.1.18,203.0.113.12,23052,22,ICMP,1454,24,7.9834,,3.0,4.0,4,0,Normal
192.168.1.43,203.0.113.32,65296,80,TCP,1157,22,0.2794,A,7.0,5.0,0,0,Normal
192.168.1.10,203.0.113.16,6525,443,UDP,941,23,1.3656,,8.0,2.0,1,0,Normal
192.168.1.76,203.0.113.12,18073,443,TCP,734,15,2.1245,A,6.0,3.0,12,0,Normal
203.0.113.195,192.168.1.50,19259,80,TCP,70,4918,1.4999,S,558.0,1.0,92,1,DDoS
192.168.1.78,203.0.113.12,43631,22,TCP,1398,5,0.4122,A,1.0,2.0,6,0,Normal
192.168.1.42,203.0.113.30,56023,22,UDP,1336,3,1.5323,,3.0,4.0,3,0,Normal
203.0.113.195,192.168.1.50,37984,80,TCP,103,1841,0.2513,S,226.0,1.0,94,1,DDoS
203.0.113.195,192.168.1.50,38759,80,TCP,102,1334,1.2904,S,814.0,1.0,88,1,DDoS
203.0.113.195,192.168.1.50,53205,80,TCP,107,4644,0.1177,S,630.0,1.0,100,1,DDoS
198.51.100.42,192.168.1.50,7940,80,TCP,98,1942,0.9623,S,751.0,1.0,100,1,DDoS
198.51.100.42,192.168.1.50,31489,80,TCP,95,4192,1.1507,S,783.0,1.0,97,1,DDoS
192.168.1.44,203.0.113.23,23070,80,TCP,1076,3,8.511,A,3.0,4.0,6,0,Normal
192.168.1.99,203.0.113.34,24277,22,TCP,593,28,3.41,A,10.0,3.0,0,0,Normal
192.168.1.84,203.0.113.29,34881,443,TCP,239,9,2.4211,A,7.0,4.0,7,0,Normal
192.168.1.45,203.0.113.10,46283,8080,TCP,1386,18,7.1213,A,8.0,1.0,2,0,Normal
192.168.1.45,203.0.113.18,20307,443,TCP,892,10,6.921,A,5.0,5.0,11,0,Normal
192.168.1.46,203.0.113.12,32039,22,TCP,1151,20,3.4441,A,9.0,3.0,11,0,Normal
192.168.1.39,203.0.113.17,47086,443,UDP,618,17,3.0732,,4.0,1.0,6,0,Normal
192.168.1.22,203.0.113.19,21703,443,TCP,1161,6,9.5093,A,3.0,2.0,6,0,Normal
192.168.1.85,203.0.113.9,49429,53,TCP,630,18,7.2486,A,9.0,5.0,9,0,Normal
192.168.1.92,203.0.113.47,65282,8080,ICMP,461,6,2.9695,,6.0,2.0,9,0,Normal
192.168.1.61,203.0.113.21,1951,443,TCP,1157,25,1.2746,A,1.0,1.0,9,0,Normal
192.0.2.89,192.168.1.10,46729,9406,TCP,64,2,0.0475,S,275.0,71.0,55,1,Port Scan
192.0.2.89,192.168.1.19,64298,110,UDP,64,1,0.0083,,82.0,29.0,45,1,Reconnaissance
192.168.1.18,203.0.113.10,17289,8080,UDP,1206,6,7.6468,,10.0,5.0,7,0,Normal
203.0.113.195,192.168.1.20,51859,3389,TCP,143,19,3.4385,PA,124.0,1.0,83,1,Brute Force
192.168.1.14,203.0.113.29,63125,443,UDP,489,27,6.2589,,5.0,1.0,5,0,Normal
192.168.1.74,203.0.113.22,16743,443,ICMP,1194,8,0.7599,,1.0,4.0,14,0,Normal
203.0.113.195,192.168.1.20,46202,3389,TCP,244,32,1.2847,PA,59.0,1.0,88,1,Brute Force
192.168.1.99,198.51.100.42,52655,8080,TCP,157,8,1.3305,PA,27.0,1.0,92,1,Botnet
192.168.1.54,203.0.113.13,5703,443,TCP,403,4,7.9284,A,10.0,5.0,9,0,Normal
192.168.1.81,203.0.113.41,29804,443,TCP,1023,6,6.8899,A,7.0,3.0,15,0,Normal
192.0.2.89,192.168.1.10,29712,424,TCP,64,1,0.0237,S,395.0,86.0,68,1,Port Scan
192.168.1.67,203.0.113.44,63334,443,TCP,1440,3,8.216,A,10.0,1.0,5,0,Normal
192.0.2.89,192.168.1.126,31858,0,ICMP,32,1,0.024,,62.0,31.0,60,1,Reconnaissance
192.0.2.89,192.168.1.141,44941,0,ICMP,32,1,0.0233,,50.0,26.0,60,1,Reconnaissance
192.168.1.10,203.0.113.3,8621,80,TCP,891,27,8.6505,A,1.0,5.0,14,0,Normal
192.168.1.100,185.156.177.5,28106,443,TCP,1226,439,16.1957,A,5.0,1.0,87,1,Malware
192.168.1.45,203.0.113.26,61819,80,TCP,961,12,8.8097,A,8.0,1.0,0,0,Normal
192.168.1.50,203.0.113.36,64800,80,TCP,1310,23,7.9951,A,3.0,3.0,0,0,Normal
192.0.2.89,192.168.1.40,37216,0,ICMP,32,2,0.0467,,47.0,42.0,57,1,Reconnaissance
203.0.113.195,192.168.1.50,28253,80,TCP,88,3642,1.3906,S,720.0,1.0,89,1,DDoS
192.168.1.19,203.0.113.30,57648,53,TCP,629,5,7.729,A,7.0,3.0,8,0,Normal
203.0.113.18,192.168.1.15,54799,80,TCP,3629,7,1.8465,PA,4.0,1.0,20,1,SQL Injection
192.0.2.89,192.168.1.60,37194,0,ICMP,32,2,0.0031,,70.0,34.0,64,1,Reconnaissance
192.168.1.64,203.0.113.88,44519,80,TCP,502,13,0.6316,PA,3.0,1.0,74,1,Phishing
203.0.113.37,192.168.1.15,7558,80,TCP,3723,6,2.4538,PA,4.0,1.0,20,1,SQL Injection
192.0.2.89,192.168.1.10,41869,5189,TCP,64,3,0.0722,S,438.0,81.0,77,1,Port Scan
192.168.1.13,203.0.113.1,36480,80,TCP,1328,4,0.6935,A,5.0,2.0,2,0,Normal
192.168.1.99,198.51.100.42,29464,8080,TCP,176,9,1.8165,PA,12.0,1.0,95,1,Botnet
192.168.1.99,198.51.100.42,53200,8080,TCP,205,8,1.1753,PA,21.0,1.0,92,1,Botnet
203.0.113.195,192.168.1.20,12497,3389,TCP,164,39,1.9288,PA,111.0,1.0,88,1,Brute Force
192.168.1.23,203.0.113.2,31142,443,TCP,1429,11,0.1039,A,8.0,3.0,5,0,Normal
203.0.113.195,192.168.1.20,5864,3389,TCP,205,24,1.7969,PA,79.0,1.0,95,1,Brute Force
192.168.1.61,203.0.113.38,8013,53,TCP,845,10,5.7235,A,10.0,3.0,9,0,Normal
192.168.1.60,203.0.113.17,2461,80,UDP,1412,29,3.9641,,1.0,5.0,1,0,Normal
192.168.1.93,203.0.113.88,60702,80,TCP,525,8,0.4472,PA,6.0,1.0,64,1,Phishing
192.168.1.86,203.0.113.43,42196,443,ICMP,1349,6,6.4669,,5.0,4.0,1,0,Normal
198.51.100.42,192.168.1.50,39006,80,TCP,89,1938,0.285,S,752.0,1.0,96,1,DDoS
192.168.1.13,203.0.113.25,35813,80,TCP,622,19,8.3064,A,5.0,4.0,9,0,Normal
203.0.113.21,192.168.1.15,49950,80,TCP,3427,8,2.9182,PA,8.0,1.0,27,1,SQL Injection
192.168.1.30,203.0.113.6,24995,80,TCP,872,5,0.149,A,9.0,1.0,14,0,Normal
192.168.1.43,203.0.113.49,25179,80,TCP,1440,24,2.629,A,7.0,3.0,3,0,Normal
192.168.1.56,203.0.113.22,45250,80,TCP,1029,10,0.26,A,9.0,3.0,7,0,Normal
192.168.1.70,203.0.113.17,43468,53,UDP,1365,5,8.2403,,5.0,4.0,3,0,Normal
192.168.1.61,203.0.113.15,10184,443,UDP,140,4,3.0506,,8.0,1.0,3,0,Normal
192.168.1.37,203.0.113.23,16411,80,UDP,341,20,3.8926,,6.0,5.0,13,0,Normal
192.168.1.68,203.0.113.7,39515,80,UDP,380,26,8.8553,,2.0,4.0,13,0,Normal
192.168.1.99,198.51.100.42,62565,8080,TCP,192,5,0.2888,PA,33.0,1.0,98,1,Botnet
192.168.1.37,203.0.113.10,60117,80,TCP,798,23,0.6149,A,5.0,2.0,3,0,Normal
198.51.100.42,192.168.1.50,63218,80,TCP,106,914,0.441,S,328.0,1.0,91,1,DDoS
192.168.1.27,203.0.113.47,5520,443,TCP,1199,29,2.0795,A,4.0,2.0,10,0,Normal
203.0.113.195,192.168.1.50,51773,80,TCP,78,1929,1.0255,S,226.0,1.0,89,1,DDoS
192.168.1.35,203.0.113.34,1997,443,TCP,551,14,5.8926,A,1.0,2.0,8,0,Normal
192.168.1.42,203.0.113.22,4458,443,TCP,926,7,5.2656,A,2.0,4.0,14,0,Normal
192.168.1.84,203.0.113.30,52012,443,TCP,1115,14,5.9407,A,8.0,5.0,7,0,Normal
192.168.1.40,203.0.113.40,62982,80,UDP,152,22,7.2752,,9.0,3.0,14,0,Normal
192.168.1.99,198.51.100.42,43185,8080,TCP,282,7,1.8284,PA,14.0,1.0,91,1,Botnet
192.168.1.100,45.227.254.3,22133,443,TCP,1471,245,21.2194,A,5.0,1.0,94,1,Malware
192.168.1.14,203.0.113.6,29217,22,TCP,298,6,8.5294,A,9.0,2.0,13,0,Normal
192.168.1.21,203.0.113.88,30617,80,TCP,360,6,0.7548,PA,12.0,1.0,68,1,Phishing
192.168.1.46,203.0.113.11,25554,80,TCP,1470,7,9.2306,A,2.0,1.0,2,0,Normal
192.168.1.100,45.227.254.3,7133,443,TCP,1487,350,35.8926,A,1.0,1.0,91,1,Malware
192.168.1.11,203.0.113.20,24197,443,ICMP,1426,30,9.4119,,7.0,1.0,9,0,Normal
192.168.1.84,203.0.113.15,40372,443,TCP,784,12,1.045,A,9.0,2.0,4,0,Normal
192.168.1.58,203.0.113.5,44063,443,TCP,523,18,8.4743,A,6.0,5.0,11,0,Normal
203.0.113.195,192.168.1.20,8553,3389,TCP,196,29,1.1158,PA,64.0,1.0,89,1,Brute Force
192.168.1.31,203.0.113.29,61417,443,TCP,782,13,0.071,A,3.0,5.0,12,0,Normal
192.168.1.39,203.0.113.35,5584,80,UDP,1360,7,9.7184,,2.0,5.0,6,0,Normal
192.168.1.35,203.0.113.4,25678,443,UDP,993,16,3.4156,,6.0,3.0,10,0,Normal
192.168.1.81,203.0.113.39,51934,443,TCP,1285,21,0.8587,A,1.0,2.0,5,0,Normal
192.168.1.99,198.51.100.42,50466,8080,TCP,255,7,0.9399,PA,27.0,1.0,93,1,Botnet
198.51.100.42,192.168.1.50,50499,80,TCP,103,4816,0.1636,S,604.0,1.0,86,1,DDoS
192.168.1.100,45.227.254.3,1527,443,TCP,1261,217,5.4251,A,4.0,1.0,87,1,Malware
192.0.2.89,192.168.1.10,9490,1181,TCP,64,2,0.0863,S,71.0,77.0,50,1,Port Scan
192.168.1.47,203.0.113.33,31154,443,UDP,705,5,5.7618,,10.0,4.0,13,0,Normal
192.168.1.99,198.51.100.42,19997,8080,TCP,276,10,1.8476,PA,15.0,1.0,96,1,Botnet
192.168.1.99,198.51.100.42,56368,8080,TCP,179,7,1.517,PA,24.0,1.0,95,1,Botnet
192.168.1.65,203.0.113.15,52084,80,UDP,220,8,5.1097,,2.0,5.0,6,0,Normal
192.0.2.89,192.168.1.10,60394,2400,TCP,64,2,0.0205,S,358.0,59.0,74,1,Port Scan
192.0.2.89,192.168.1.10,50775,9249,TCP,64,3,0.0639,S,369.0,70.0,77,1,Port Scan
192.168.1.83,203.0.113.40,64657,80,TCP,711,23,1.5181,A,2.0,4.0,14,0,Normal
203.0.113.195,192.168.1.50,42402,80,TCP,123,3042,0.7327,S,258.0,1.0,96,1,DDoS
192.168.1.100,185.156.177.5,55530,443,TCP,1497,286,35.4874,A,1.0,1.0,92,1,Malware
192.168.1.46,203.0.113.8,60599,443,UDP,1234,28,6.5219,,6.0,5.0,15,0,Normal
203.0.113.195,192.168.1.50,33881,80,TCP,95,820,1.0907,S,649.0,1.0,90,1,DDoS
192.168.1.100,45.227.254.3,24872,443,TCP,1371,454,8.6252,A,1.0,1.0,93,1,Malware
192.168.1.10,203.0.113.40,45482,22,TCP,645,15,2.5274,A,10.0,2.0,10,0,Normal
198.51.100.42,192.168.1.50,6365,80,TCP,74,1556,0.5334,S,585.0,1.0,95,1,DDoS
192.168.1.47,203.0.113.2,54316,22,TCP,1436,7,7.0313,A,9.0,1.0,13,0,Normal
192.168.1.52,203.0.113.44,34348,53,TCP,101,14,3.6324,A,3.0,2.0,10,0,Normal
192.168.1.100,45.227.254.3,63130,443,TCP,1251,201,32.9229,A,5.0,1.0,98,1,Malware
192.168.1.100,185.156.177.5,49431,443,TCP,1283,128,14.9465,A,5.0,1.0,97,1,Malware
192.168.1.58,203.0.113.20,60180,8080,TCP,960,8,0.4465,A,6.0,2.0,14,0,Normal
192.168.1.58,203.0.113.7,41039,8080,TCP,983,12,2.3477,A,4.0,3.0,15,0,Normal
203.0.113.195,192.168.1.50,60266,80,TCP,112,2808,0.8041,S,628.0,1.0,90,1,DDoS
192.168.1.39,203.0.113.16,54559,80,TCP,1302,9,1.3926,A,5.0,1.0,15,0,Normal
203.0.113.195,192.168.1.50,58310,80,TCP,84,1187,0.4819,S,725.0,1.0,89,1,DDoS
192.168.1.72,203.0.113.4,55487,443,TCP,251,16,9.4647,A,4.0,4.0,11,0,Normal
192.168.1.41,203.0.113.10,62003,53,UDP,913,3,0.542,,9.0,3.0,7,0,Normal
192.168.1.96,203.0.113.28,26331,443,TCP,831,5,2.2531,A,6.0,1.0,10,0,Normal
203.0.113.195,192.168.1.20,52887,3389,TCP,129,24,4.6234,PA,32.0,1.0,88,1,Brute Force
192.168.1.76,203.0.113.33,15157,443,TCP,370,29,5.4926,A,10.0,5.0,13,0,Normal
203.0.113.195,192.168.1.50,8310,80,TCP,122,3939,0.1879,S,711.0,1.0,85,1,DDoS
203.0.113.195,192.168.1.20,42439,3389,TCP,218,10,1.9623,PA,83.0,1.0,85,1,Brute Force
192.168.1.16,203.0.113.33,44564,80,UDP,239,24,5.2396,,6.0,1.0,0,0,Normal
192.168.1.45,203.0.113.29,26612,80,TCP,1026,30,0.4449,A,7.0,3.0,8,0,Normal
192.168.1.29,203.0.113.11,50000,22,UDP,795,3,7.8873,,6.0,2.0,3,0,Normal
192.168.1.21,203.0.113.20,51585,443,TCP,744,21,1.3428,A,6.0,5.0,10,0,Normal
198.51.100.42,192.168.1.50,54338,80,TCP,72,1604,1.1025,S,668.0,1.0,86,1,DDoS
192.168.1.68,203.0.113.88,20255,80,TCP,403,13,1.4859,PA,10.0,1.0,75,1,Phishing
203.0.113.9,192.168.1.15,17625,80,TCP,2309,9,2.4984,PA,5.0,1.0,38,1,SQL Injection
192.168.1.31,203.0.113.43,27239,80,TCP,964,26,8.9474,A,7.0,3.0,5,0,Normal
192.168.1.96,203.0.113.37,33543,53,TCP,1082,25,3.6798,A,9.0,3.0,2,0,Normal
192.168.1.50,203.0.113.38,48674,80,UDP,225,16,4.3118,,3.0,5.0,9,0,Normal
192.168.1.85,203.0.113.23,22074,443,TCP,227,6,3.2859,A,5.0,3.0,14,0,Normal
192.168.1.40,203.0.113.6,40517,80,TCP,936,25,1.6748,A,8.0,3.0,14,0,Normal
192.0.2.89,192.168.1.10,3799,1230,TCP,64,3,0.0641,S,236.0,82.0,75,1,Port Scan
203.0.113.195,192.168.1.50,50169,80,TCP,80,785,0.1941,S,997.0,1.0,96,1,DDoS
192.168.1.62,203.0.113.36,24757,80,ICMP,1225,15,0.3335,,3.0,4.0,11,0,Normal
192.0.2.89,192.168.1.10,25404,5151,TCP,64,3,0.0286,S,108.0,51.0,73,1,Port Scan
192.168.1.99,198.51.100.42,13216,8080,TCP,166,10,1.4377,PA,23.0,1.0,99,1,Botnet
192.168.1.29,203.0.113.88,19739,80,TCP,565,7,0.7786,PA,3.0,1.0,70,1,Phishing
192.168.1.82,203.0.113.26,44791,22,UDP,196,14,5.5045,,5.0,3.0,5,0,Normal
192.168.1.10,203.0.113.25,47673,443,TCP,1498,25,6.3806,A,6.0,5.0,7,0,Normal
192.168.1.99,198.51.100.42,8977,8080,TCP,246,8,0.8009,PA,45.0,1.0,92,1,Botnet
192.168.1.21,203.0.113.19,41128,8080,TCP,198,5,3.0998,A,8.0,5.0,13,0,Normal
192.168.1.26,203.0.113.10,51431,8080,UDP,1241,16,0.7468,,6.0,1.0,14,0,Normal
192.168.1.99,198.51.100.42,31552,8080,TCP,133,10,0.922,PA,13.0,1.0,91,1,Botnet
192.0.2.89,192.168.1.10,34978,8502,TCP,64,2,0.0847,S,178.0,62.0,70,1,Port Scan
192.0.2.89,192.168.1.44,63699,0,ICMP,32,1,0.0094,,89.0,48.0,61,1,Reconnaissance
192.168.1.25,203.0.113.7,56240,80,TCP,148,21,8.2541,A,1.0,1.0,1,0,Normal
192.0.2.89,192.168.1.8,63187,0,ICMP,32,2,0.0446,,79.0,28.0,59,1,Reconnaissance
192.168.1.81,203.0.113.23,32674,80,UDP,1466,10,4.0669,,8.0,1.0,1,0,Normal
192.0.2.89,192.168.1.10,11383,5122,TCP,64,3,0.0326,S,490.0,72.0,62,1,Port Scan
203.0.113.195,192.168.1.50,9593,80,TCP,79,4321,0.4745,S,453.0,1.0,89,1,DDoS
203.0.113.39,192.168.1.15,7368,80,TCP,3141,7,2.8344,PA,7.0,1.0,20,1,SQL Injection
192.168.1.34,203.0.113.13,13464,443,TCP,390,27,4.9877,A,9.0,4.0,15,0,Normal
203.0.113.195,192.168.1.50,58635,80,TCP,91,2472,0.9167,S,249.0,1.0,86,1,DDoS
192.0.2.89,192.168.1.111,19462,0,ICMP,32,1,0.0442,,56.0,35.0,63,1,Reconnaissance
192.168.1.100,45.227.254.3,3989,443,TCP,1397,87,32.7341,A,5.0,1.0,89,1,Malware
192.168.1.19,203.0.113.30,55111,443,TCP,1457,22,6.1143,A,3.0,1.0,12,0,Normal
192.168.1.58,203.0.113.3,25481,443,TCP,758,28,5.5827,A,6.0,2.0,6,0,Normal
192.168.1.27,203.0.113.37,40507,22,TCP,886,19,5.0058,A,1.0,1.0,4,0,Normal
192.168.1.82,203.0.113.15,47789,8080,TCP,1034,13,5.1981,A,3.0,5.0,4,0,Normal
192.168.1.46,203.0.113.37,22517,80,TCP,716,22,1.6334,A,10.0,3.0,10,0,Normal
192.168.1.55,203.0.113.24,34271,22,TCP,1107,29,5.3281,A,10.0,3.0,15,0,Normal
192.168.1.61,203.0.113.4,54484,80,TCP,818,3,3.3191,A,2.0,4.0,9,0,Normal
192.168.1.83,203.0.113.43,53240,443,UDP,1473,26,6.2963,,10.0,4.0,8,0,Normal
192.168.1.12,203.0.113.6,64401,80,TCP,1248,23,5.7806,A,1.0,5.0,15,0,Normal
203.0.113.195,192.168.1.20,12198,3389,TCP,156,11,1.7631,PA,86.0,1.0,90,1,Brute Force
192.0.2.89,192.168.1.189,28469,0,ICMP,32,1,0.0356,,76.0,23.0,75,1,Reconnaissance
192.168.1.99,198.51.100.42,22326,8080,TCP,187,8,1.1379,PA,26.0,1.0,99,1,Botnet
192.168.1.20,203.0.113.41,32755,22,UDP,568,9,2.7973,,5.0,2.0,9,0,Normal
192.168.1.76,203.0.113.25,51563,443,TCP,488,12,6.9055,A,8.0,3.0,15,0,Normal
203.0.113.195,192.168.1.20,23883,22,TCP,229,38,4.2735,PA,128.0,1.0,84,1,Brute Force
192.168.1.81,203.0.113.5,20059,443,TCP,653,4,9.5536,A,2.0,3.0,14,0,Normal
192.168.1.57,203.0.113.13,44013,8080,TCP,1045,11,2.1477,A,9.0,3.0,8,0,Normal
203.0.113.29,192.168.1.15,10020,80,TCP,3975,15,1.0642,PA,3.0,1.0,11,1,SQL Injection
192.168.1.100,45.227.254.3,7590,443,TCP,1280,331,27.3799,A,4.0,1.0,92,1,Malware
192.168.1.49,203.0.113.28,43657,443,UDP,652,9,3.2185,,1.0,1.0,7,0,Normal
203.0.113.195,192.168.1.20,36095,22,TCP,137,39,4.9887,PA,80.0,1.0,95,1,Brute Force
192.168.1.99,198.51.100.42,13234,8080,TCP,172,6,0.9633,PA,44.0,1.0,98,1,Botnet
203.0.113.10,192.168.1.15,33393,80,TCP,3679,7,2.1207,PA,7.0,1.0,15,1,SQL Injection
203.0.113.195,192.168.1.20,1947,3389,TCP,231,29,4.308,PA,95.0,1.0,90,1,Brute Force
203.0.113.195,192.168.1.20,6708,22,TCP,191,39,1.0273,PA,79.0,1.0,87,1,Brute Force
192.0.2.89,192.168.1.93,30301,484,UDP,64,1,0.0337,,69.0,29.0,50,1,Reconnaissance
203.0.113.195,192.168.1.20,27593,22,TCP,184,21,1.8765,PA,47.0,1.0,95,1,Brute Force
192.168.1.31,203.0.113.88,11063,80,TCP,548,8,1.1812,PA,3.0,1.0,76,1,Phishing
